hub_name,beat_index,daily_beat,shipments,old_dailybeat,flag
SatelliteHub_BAKT,1.8,0,77.2,0.8,0
Satellitehub_FKBXR,1.4,0.43,69.8,0,1
SatelliteHub_BBA,,,0,,0
Satellitehub_FKBOJ,1.9,0.32,112,0.47,0
SatelliteHub_FKSSM,1.9,0.53,126.7,0.74,0
SatelliteHub_FKNWD,2.9,0,83.8,0.86,0
Satellitehub_FKGAYA,2,0.21,134.7,0.71,0
SatelliteHub_JMI,2.2,0.31,91.7,0.48,0
Satellitehub_FKBHG,1.3,0.59,149.8,0.5,1
SatelliteHub_BKA,,,0,,0
Satellitehub_DUK,17.5,0,2,0.3,0
Satellitehub_SBG,3.7,0,37.7,0,0
Satellitehub_GRD,1.8,0,57.7,0,0
Satellitehub_DTO,1.8,0.47,76,0.36,1
SatelliteHub_ABD,2.4,0,87.5,0.31,0
Satellitehub_FKRMG,1.5,0,23.9,0,0
SatelliteHub_FKBKSC,2.1,0.4,80.8,0.79,0
Satellitehub_HAZ,1.5,0.76,45.8,0.76,0
Satellitehub_TIA,3.1,0,34.4,0.53,0
Satellitehub_KATR,1.1,0,60.8,0.51,0
Satellitehub_GHT,2.4,0,42.9,0.74,0
Satellitehub_CHB,3.2,0,44.4,0,0
Satellitehub_RNC,1.7,0.74,143.9,0.89,0
Satellitehub_HAT,1.5,0.47,136.3,0.89,0
